排名,代號,名稱,成交,財報年度,營收(億),營收成長(%),毛利(億),毛利成長(%),淨利(億),淨利成長(%),毛利(%),毛率增減,淨利(%),淨率增減,EPS(元),EPS增減(元),ROE(%),ROE增減,ROA(%),ROA增減,財報評分
505,3171,炎洲流通,66.4,2025,19.1,32.4,5.05,24.9,1.43,28.4,26.4,-1.6,7.92,0.23,4.3,2.18,19.0,6.57,11.2,2.86,50
506,5347,世界,132.0,2025,486,10.3,137,14.4,79.1,12.2,28.1,1.01,16.0,-0.01,4.3,0.09,10.2,-2.12,4.45,-1.16,57
507,6416,瑞祺電通,81.4,2025,43.1,1.31,9.94,-1.94,3.16,-4.39,23.1,-0.76,7.18,-0.6,4.3,-0.2,8.37,-0.75,5.34,-0.63,45
508,3484,崧騰,46.0,2025,46.3,6.42,11.6,3.29,3.35,6.17,25.0,-0.76,7.2,-0.07,4.27,0.1,10.3,-0.43,6.4,0.21,50
509,9927,泰銘,70.5,2025,80.5,-5.91,10,-18.6,6.53,-38.0,12.4,-1.94,8.15,-4.18,4.26,-2.03,10.7,-5.56,9.57,-4.5,57
510,5258,虹堡,52.0,2025,78.6,0.46,27.4,5.77,4.65,-33.1,34.9,1.75,6.26,-2.91,4.23,-2.12,10.7,-6.54,5.47,-3.89,47
511,6261,久元,78.3,2025,41.9,5.64,12.5,4.95,5.44,4.23,29.9,-0.2,12.0,-0.29,4.23,0.17,7.34,0.27,5.97,0.17,62
512,6961,旅天下,57.4,2025,41.3,-8.56,6.13,1.15,1,16.4,14.8,1.42,2.44,0.6,4.23,0.6,11.9,2.1,8.37,1.2,60
513,7753,星亞,39.55,2025,8.73,9.51,2.96,14.0,0.98,24.7,33.9,1.34,11.2,1.37,4.22,0.66,22.1,-2.12,12.0,0.92,66
514,1618,合機,39.05,2025,48.2,3.01,9.11,0.62,8.1,13.4,18.9,-0.45,16.8,1.54,4.21,0.5,12.8,-0.06,10.0,-0.27,53
515,6763,綠界科技*,48.6,2025,17.4,8.73,7.28,10.2,7.75,117.0,41.7,0.56,44.0,22.1,4.21,2.27,25.7,13.1,10.8,5.58,73
516,8358,金居,367.5,2025,78.8,15.5,17.1,26.7,10.6,15.3,21.8,1.91,13.5,-0.03,4.21,0.56,15.1,0.4,11.7,0.61,57
517,2364,倫飛,64.9,2025,15.1,20.5,5.99,27.4,2.2,33.6,39.8,2.16,14.5,1.47,4.2,0.11,31.1,-0.78,14.5,2.88,64
518,4772,台特化,308.5,2025,19.9,128.0,10.5,128.0,6.2,60.8,52.9,-0.08,36.9,-7.26,4.2,1.46,19.0,3.52,13.8,-0.91,85
519,6464,台數科,76.3,2025,44.5,1.93,22.3,-0.41,5.41,-38.4,50.1,-1.18,12.7,-8.33,4.2,-2.77,6.61,-4.32,3.07,-1.86,55
520,6776,展碁國際,60.2,2025,293,14.8,17.5,4.98,3.46,3.24,5.97,-0.56,1.12,-0.25,4.2,0.09,12.0,-2.48,3.21,-1.13,28
521,5493,三聯,83.2,2025,54.5,21.0,6.71,8.47,1.82,-0.47,12.3,-1.43,7.28,-0.49,4.18,-0.02,12.3,0.47,6.79,0.27,45
522,7767,仁大資訊,44.65,2025,23.7,-2.96,3.26,10.7,1.12,-1.75,13.8,1.7,4.74,0.06,4.18,-0.24,13.6,-3.37,5.85,-0.96,38
523,8442,威宏-KY,52.2,2025,81,-2.85,15.5,-11.5,2.87,-61.4,19.1,-1.87,3.54,-5.38,4.18,-6.94,7.57,-13.7,4.13,-7.26,34
