排名,代號,名稱,股價日期,成交,漲跌價,漲跌幅,股利發放年度,股利發放頻率,現金股利,股票股利,合計股利,除息價,除息價現金殖利率,除權價,除權價股票殖利率,除權息合計殖利率,除息交易日,除權交易日,現金股利發放日
816,2369,菱生,04/17,30.6,-0.5,-1.61,2024,年,0.3,0,0.3,20.8,1.44,,0,1.44,'24/08/01,,'24/08/28
817,2371,大同,04/17,33.1,+0.55,+1.69,2024,半年,0,0,0,,0,,0,0,,,
818,2373,震旦行,04/17,58.1,+0.6,+1.04,2024,年,4.1,0,4.1,77,5.32,,0,5.32,'24/07/05,,'24/07/29
819,2375,凱美,04/17,88,+0.5,+0.57,2024,半年,0.8,0,0.8,61.2,1.31,,0,1.31,'24/08/06,,'24/08/30
820,2376,技嘉,04/17,281.5,+0.5,+0.18,2024,年,6.358,0,6.358,262.5,2.42,,0,2.42,'24/08/05,,'24/08/30
821,2377,微星,04/17,91.9,+1.1,+1.21,2024,年,5.4,0,5.4,175,3.09,,0,3.09,'24/08/26,,'24/09/20
822,2379,瑞昱,04/17,531,-9,-1.67,2024,年,15.5,0,15.5,510,3.04,,0,3.04,'24/09/05,,'24/10/08
823,2380,虹光,04/17,5.3,-0.11,-2.03,2024,半年,0,0,0,,0,,0,0,,,
824,2382,廣達,04/17,323,+4.5,+1.41,2024,半年,9,0,9,284.5,3.16,,0,3.16,'24/04/12,,'24/05/17
825,2383,台光電,04/17,3800,-35,-0.91,2024,年,9.979,0,9.979,451.5,2.21,,0,2.21,'24/08/29,,'24/09/27
826,2385,群光,04/17,125.5,-0.5,-0.4,2024,年,7.8,0,7.8,194,4.02,,0,4.02,'24/06/18,,'24/07/12
827,2387,精元,04/17,40.35,+0.25,+0.62,2024,年,3,0,3,59.7,5.03,,0,5.03,'24/07/09,,'24/08/05
828,2388,威盛,04/17,65.3,+3.9,+6.35,2024,年,0.1,0,0.1,124.5,0.08,,0,0.08,'24/06/20,,'24/07/19
829,2390,云辰,04/17,10.1,0,0,2024,年,0,0,0,,0,,0,0,,,
830,2392,正崴,04/17,36.6,-0.25,-0.68,2024,年,2,0,2,83.6,2.39,,0,2.39,'24/07/18,,'24/08/16
831,2393,億光,04/17,73.3,+0.7,+0.96,2024,年,3.2,0,3.2,78,4.1,,0,4.1,'24/08/01,,'24/08/30
832,2395,研華,04/17,366,+11,+3.1,2024,年,9.448,0,9.448,374.5,2.52,,0,2.52,'24/07/18,,'24/08/08
833,2397,友通,04/17,60.1,+0.8,+1.35,2024,年,3,0,3,91,3.3,,0,3.3,'24/07/09,,'24/08/09
834,2399,映泰,04/17,35.25,+0.25,+0.71,2024,年,0,0,0,,0,,0,0,,,
835,2401,凌陽,04/17,23.65,+0.95,+4.19,2024,年,0,0,0,,0,,0,0,,,
836,2402,毅嘉,04/17,77.7,+7,+9.9,2024,年,1.186,0,1.186,38.25,3.1,,0,3.1,'24/07/03,,'24/07/23
837,2404,漢唐,04/17,1025,+90,+9.63,2024,年,21,0,21,373,5.63,,0,5.63,'24/07/12,,'24/08/09
838,2405,輔信,04/17,15.75,-0.05,-0.32,2024,半年,0.17,0,0.17,23.85,0.71,,0,0.71,'24/07/22,,'24/08/09
839,2406,國碩,04/17,33.95,+1.15,+3.51,2024,年,0,0,0,,0,,0,0,,,
840,2408,南亞科,04/17,210,-3.5,-1.64,2024,年,0,0,0,,0,,0,0,,,
841,2409,友達,04/17,19.85,-0.85,-4.11,2024,年,0.9,0,0.9,17.75,5.07,,0,5.07,'24/08/05,,'24/08/30
