股號	股名	年份	紀念品
1563	巧新	2025	7-11商品卡50元
1565	精華	2025	醫方晶采金盞花葉黃素 30錠(2025)
1569	濱川	2025	7-11商品卡35元
1570	力肯	2025	7-11商品卡50元
1570	力肯(臨)	2025	7-11商品卡50元
1580	新麥	2025	7-11中杯美式或現萃茶提貨卡
1582	信錦	2025	7-11商品卡100元
1584	精剛	2025	常健順暢益生菌(2入)
1589	永冠-KY	2025	全家禮物卡50元
1591	駿吉-KY	2025	全家禮物卡50元
1591	駿吉-KY(臨)	2025	全家禮物卡50元
1604	聲寶	2025	多功能晴雨直傘
1605	華新	2025	永續益田米1公斤
1609	大亞	2025	7-11商品卡35元
1611	中電	2025	7-11商品卡50元
1707	葡萄王	2025	葡萄王靈芝巴西菇菌絲體益菌複方膠囊50粒
1708	東鹼	2025	小蘇打粉
1709	和益	2025	德菲雅掛耳式咖啡
1711	永光	2025	伊莎貝爾無患子潔手慕斯250ml
1712	興農	2025	一滴淨液態洗衣槽清潔劑
1714	和桐	2025	全家禮物卡50元
1718	中纖	2025	日月養生滴魚精2025
1721	三晃	2025	7-11商品卡50元
1722	台肥	2025	胺基酸深層潔顏慕斯+玻尿酸保濕潤澤化妝水禮盒
1723	中碳	2025	SNAPWARE Amber晶彩琥珀耐熱玻璃烤盤8吋
1733	五鼎	2025	保鮮盒(五鼎)
1734	杏輝	2025	茯苓善補膠囊
1737	臺鹽	2025	台塩洗手露1瓶及股東專區購物金2000元
1760	寶齡富錦	2025	寶齡敷膜5片加精華乳組合
1762	中化生	2025	綠的抗菌旅行組合
1781	合世	2025	伊莎貝爾櫻花沐浴皂75克一顆
1783	和康生	2025	至尊膠原面膜限量盲盒5片入
1784	訊聯	2025	Meta Exosome外泌體水光潤澤修護面膜
1785	光洋科	2025	沙威隆抗菌組合
1786	科妍	2025	7-11商品卡35元
1809	中釉	2025	高露潔旅行牙膏組
1815	富喬	2025	不鏽鋼玻璃調味罐
1904	正隆	2025	春風頂級厚手三層絲柔抽取式衛生紙一串6包
1909	榮成	2025	榮成環保杯
2002	中鋼	2025	純鈦永輕巧瓶
2012	春雨	2025	滋補強身 甲魚全沛膠囊
2014	中鴻	2025	7-11商品卡50元
2020	美亞	2025	全家禮物卡50元
2022	聚亨	2025	小熊保溫保冷提袋
2023	燁輝	2025	#304不銹鋼野營杯四入組
2024	志聯	2025	7-11商品卡35元
2025	千興	2025	伊莎貝爾歐風精華皂
2030	彰源	2025	運動休閒毛巾襪
2031	新光鋼	2025	毛寶好無比室內晾曬洗衣精(500g)
2065	世豐	2025	7-11商品卡50元
2102	泰豐	2025	7-11商品卡50元
2102	泰豐(臨)	2025	7-11商品卡50元
2104	中橡	2025	多功能雙面蓋毯120X70公分
2107	厚生	2025	厚生手提袋
2108	南帝	2025	珍珍休閒食品三入
2109	華豐(臨)	2025	7-11商品卡50元
2206	三陽工業	2025	經典不鏽鋼餐具套組
2208	台船	2025	7-11(45元咖啡卡)
2233	宇隆	2025	松村窯日式簡約5碗
2241	艾姆勒	2025	7-11商品卡50元
2303	聯電	2025	UMC x 咖波聯名限定鋼珠筆套組
2312	金寶	2025	杜邦提袋
2313	華通	2025	南僑水晶肥皂洗衣用液体-檸檬香茅/櫻花百合 500G
2314	台揚(臨)	2025	蜂王清新植感草本皂70克二入
2314	台揚	2025	伊莎貝爾無患子洗手乳250ml
2316	楠梓電	2025	方型二碗二匙 安妮兔或寶貝兔隨機出貨
2323	中環	2025	水晶肥皂洗衣用液體(清爽型)500g
2327	國巨	2025	妙管家八倍濃縮洗衣球6顆
2328	廣宇	2025	7-11商品卡35元
2329	華泰	2025	戶外用摺疊手柄不銹鋼杯
2332	友訊	2025	常健順暢益生菌(2入)
2337	旺宏	2025	7-11商品卡50元
2338	光罩	2025	全家禮物卡35元
2340	台亞	2025	7-11商品卡50元
2342	茂矽	2025	毛寶好無比 超淨亮 洗衣精500ml
2344	華邦電	2025	美琪抗菌皂組(1組4入)
2345	智邦	2025	7-11商品卡50元
2349	錸德	2025	除霉凝膠
2352	佳世達	2025	乖乖發財巾88抽
2353	宏碁	2025	旋轉手機支架
2355	敬鵬	2025	小熊保溫保冷提袋
2359	所羅門	2025	伊莎貝爾無患子洗手乳250ml
2363	矽統	2025	陶瓷碗
2364	倫飛	2025	7-11商品卡50元
2365	昆盈	2025	全罩頭戴式耳機HS-400A
2367	燿華	2025	多功能運動腰包
2369	菱生	2025	7-11商品卡50元
2371	大同(臨)	2025	7-11商品卡100元
2371	大同(臨)	2025	7-11商品卡100元
2371	大同	2025	7-11商品卡100元
2374	佳能	2025	稻回皂 100克
2375	凱美	2025	妙管家八倍濃縮洗衣球6顆
2379	瑞昱	2025	全家禮物卡88元
2380	虹光	2025	草莓環保購物袋
2390	云辰	2025	7-11商品卡35元
2399	映泰	2025	水晶肥皂食器洗滌液體100ml
2401	凌陽	2025	7-11商品卡50元
2402	毅嘉	2025	7-11中杯美式或現萃茶提貨卡
2405	輔信	2025	康寧Amber 7.5吋湯盤
2406	國碩	2025	7-11商品卡35元
2409	友達	2025	新埔良質米600克
2417	圓剛	2025	戶外用摺疊手柄不銹鋼杯
2420	新巨	2025	伊莎貝爾櫻花沐浴皂75克二入
2421	建準	2025	耐斯泡舒洗潔精
2425	承啟	2025	7-11商品卡35元
2426	鼎元	2025	7-11商品卡50元
2429	銘旺科	2025	7-11商品卡50元
