代號,名稱,股價,PER
4109,加捷生醫,12.6,29.3
2515,中工,13.85,34.63
4911,德英,37.35,17.13
1203,味王,43.4,23.98
2312,金寶,24.55,23.61
6148,驊宏資,33.0,24.26
8087,麗升能源,35.45,0.0
7723,築間,34.45,0.0
5607,遠雄港,48.15,17.38
4164,承業醫,31.15,32.79
5438,東友,19.25,37.75
3128,昇銳,24.65,18.67
5013,強新,30.1,20.76
6243,迅杰,30.95,0.0
2849,安泰銀,14.1,17.85
6126,信音,33.25,46.83
6722,輝創,40.0,13.79
1236,宏亞,26.9,0.0
6614,資拓宏宇,41.0,21.58
6884,海柏特,35.0,17.07
8215,明基材,29.25,0.0
1584,精剛,21.15,48.07
5014,建錩,10.2,0.0
4561,健椿,36.65,55.53
6020,大展證,19.15,49.1
2328,廣宇,45.6,29.23
9105,泰金寶-DR,5.6,
1449,佳和,14.4,130.91
6763,綠界科技*,48.6,11.54
8941,關中,45.05,38.84
5220,萬達光電,20.25,0.0
8162,微矽電子-創,43.15,27.48
1904,正隆,18.6,25.14
4939,亞電,41.15,0.0
2706,第一店,12.7,19.54
2409,友達,19.85,21.81
1714,和桐,9.63,19.26
4430,耀億,17.45,0.0
4706,大恭,32.45,92.71
6988,威力暘-創,14.85,0.0
4707,磐亞,15.05,16.91
2701,萬企,10.95,19.55
5230,雷笛克光學,18.25,0.0
2641,正德,18.2,9.05
3543,州巧,42.45,0.0
4729,熒茂,20.5,128.13
2073,雄順,26.9,0.0
2230,泰茂,30.25,0.0
7753,星亞,39.55,9.37
6140,訊達,18.75,0.0
1605,華新,32.3,44.86
6865,偉康科技,36.3,23.88
3489,森寶,23.7,0.0
6120,達運,14.8,0.0
1609,大亞,34.55,20.94
2905,三商,14.5,20.14
4119,旭富,48.55,53.94
1453,大將,12.15,303.75
5202,力新,14.15,0.0
8473,山林水,37.4,14.67
2427,三商電,22.25,14.54
3441,聯一光,32.4,30.57
1440,南紡,13.2,0.0
6730,常廣,39.0,18.22
5278,尚凡*,23.65,22.52
8032,光菱,36.95,16.87
4538,大詠城,18.9,65.17
1598,岱宇,20.65,0.0
1225,福懋油,33.3,20.56
4148,全宇生技-KY,38.0,16.67
3652,精聯,28.0,20.9
5514,三豐,15.9,0.0
